c_id,subject,type,text,p.instruction_explicitness_of_instruction,p.instruction_obstacle_complex_np,p.instruction_obstacle_negation,p.instruction_obstacle_passive,p.item_1_answer_verbatim_explanatory_text,p.item_1_obstacle_complex_np,p.item_1_obstacle_negation,p.item_1_obstacle_passive,p.item_1_sentence_length,p.item_2_answer_verbatim_explanatory_text,p.item_2_obstacle_complex_np,p.item_2_obstacle_negation,p.item_2_obstacle_passive,p.item_2_sentence_length,p.item_3_answer_verbatim_explanatory_text,p.item_3_obstacle_complex_np,p.item_3_obstacle_negation,p.item_3_obstacle_passive,p.item_3_sentence_length,p.item_4_answer_verbatim_explanatory_text,p.item_4_obstacle_complex_np,p.item_4_obstacle_negation,p.item_4_obstacle_passive,p.item_4_sentence_length,p.item_5_answer_verbatim_explanatory_text,p.item_5_obstacle_complex_np,p.item_5_obstacle_negation,p.item_5_obstacle_passive,p.item_5_sentence_length,p.item_6_answer_verbatim_explanatory_text,p.item_6_obstacle_complex_np,p.item_6_obstacle_negation,p.item_6_obstacle_passive,p.item_6_sentence_length,p.item_7_answer_verbatim_explanatory_text,p.item_7_obstacle_complex_np,p.item_7_obstacle_negation,p.item_7_obstacle_passive,p.item_7_sentence_length,p.item_8_answer_verbatim_explanatory_text,p.item_8_obstacle_complex_np,p.item_8_obstacle_negation,p.item_8_obstacle_passive,p.item_8_sentence_length,p.mathematical_requirement_level,p.root_text_contains_irrelevant_information,p.root_text_obstacle_complex_np,p.root_text_obstacle_negation,p.root_text_obstacle_passive,p.root_text_reference_explanatory_text,p.taxanomy_level,p.variation,answers,p.instruction_number_of_sentences
35-3-7,1,true-false,"Entscheide, ob die Aussagen falsch oder richtig sind. <true-false> Alle Menschen haben die gleichen Bedürfnisse. <true-false> Die Bedürfnisse von Menschen sind nicht begrenzt. <true-false> Bedürfnisse beschreiben Wünsche, die durch Geld befriedigt werden können. <true-false> Bedürfnisse beschreiben Wünsche, die durch einen empfundenen Mangel entstehen. <true-false> Es gibt Bedürfnisse, die nicht mit Geld befriedigt werden können. <true-false> Wenn man alle seine Bedürfnisse befriedig hat, können keine neuen Bedürfnisse entstehen. ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Enthalten,Nicht enthalten,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,schwer,"Die Bedürfnisse von Menschen sind nicht begrenzt.; Bedürfnisse beschreiben Wünsche, die durch einen empfundenen Mangel entstehen.; Es gibt Bedürfnisse, die nicht mit Geld befriedigt werden können.",1
38-1-2,1,multiple-choice,"Welche Aussage passt zum folgenden Gedicht von Wilhelm Busch: Wonach du sehnlich ausgeschaut, Es wurde dir beschieden. Du triumphierst und jubelst laut: Jetzt hab ich endlich! Ach, Freundchen, rede nicht so wild, Bezähme deine Zunge! Ein jeder Wunsch, wenn er erfüllt, Kriegt augenblicklich Junge. <option> Bedürfnisse sind unbegrenzt. <option> Bedarf ist das konkrete Verlangen zum Beispiel nach einem bestimmten Produkt oder einer bestimmten Leistung zur Befriedigung der eigenen Bedürfnisse. <option> Grundbedürfnisse müssen erfüllt werden, um zu überleben. <option> Als Selbstverwirklichungsbedürfnisse bezeichnet man das Bedürfnis, sich zu verhalten, wie es den eigenen Vorstellungen entspricht.  ",Explizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),Nicht enthalten,Nicht enthalten,Enthalten,Enthalten,Implizit,Stufe 2,Stammaufgabe,Bedürfnisse sind unbegrenzt.,4
37-3-2,1,multiple-choice,"Luisa ist 17 Jahre alt und wohnt bei ihren Eltern. Sie ist mit ihrem Leben eigentlich ganz zufrieden: Sie muss sich keine Sorge um ihre Gesundheit und die Versorgung mit Essen machen und hat viele Freunde. Da sie in Kürze ihr Abitur macht, fragt sie sich momentan häufig, was sie später mit ihrem Leben anfangen soll. Sie möchte unbedingt einen Beruf wählen, der ihr Spaß macht und der sie erfüllt. Welche der folgenden Aussagen trifft zu? <option> Da sich Luisa vor allem um die Befriedigung ihrer Grundbedürfnisse kümmern muss, hat sie keine Zeit, sich Gedanken um ihre berufliche Zukunft zu machen. <option> Luisa hat keine Bedürfnisse, da sie mit ihrem Leben insgesamt ganz zufrieden ist. <option> Selbst wenn Luisa insgesamt zufrieden ist, bedeutet das nicht, dass sie keine Bedürfnisse hat. Auch der Wunsch, einen erfüllenden Beruf zu ergreifen, ist ein Bedürfnis.  <option> Bedürfnisse sind nur was für Erwachsene. 17-Jährige haben noch keine Bedürfnisse.  <option> Luisas Wunsch nach Selbstverwirklichung nennt man in der Wirtschaftswissenschaft Bedarf. <option> Da die Grundbedürfnisse von Luisa weitgehend befriedigt sind, kann sie sich voll und ganz auf das Abitur konzentrieren.  ",,,,,Nicht enthalten,Enthalten,Enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,0 (Kein Bezug),Enthalten,Enthalten,Enthalten,Nicht enthalten,Nicht vorhanden,Stufe 2,schwer,"Selbst wenn Luisa insgesamt zufrieden ist, bedeutet das nicht, dass sie keine Bedürfnisse hat. Auch der Wunsch, einen erfüllenden Beruf zu ergreifen, ist ein Bedürfnis.; Da die Grundbedürfnisse von Luisa weitgehend befriedigt sind, kann sie sich voll und ganz auf das Abitur konzentrieren.",5
37-2-3,1,single-choice,"Luisa ist 17 Jahre alt und wohnt bei ihren Eltern. Sie ist mit ihrem Leben eigentlich ganz zufrieden: Sie muss sich keine Sorge um ihre Gesundheit und die Versorgung mit Essen machen und hat viele Freunde. Da sie in Kürze ihr Abitur macht, fragt sie sich momentan häufig, was sie später mit ihrem Leben anfangen soll. Sie möchte unbedingt einen Beruf wählen, der ihr Spaß macht und der sie erfüllt. Wähle die korrekte Aussage aus. <option> Luisa hat keine Bedürfnisse, da sie mit ihrem Leben insgesamt ganz zufrieden ist. <option> Selbst wenn Luisa insgesamt zufrieden ist, hat sie trotzdem Bedürfnisse. Auch der Wunsch, einen erfüllenden Beruf zu ergreifen, ist ein Bedürfnis.  <option> Bedürfnisse sind nur was für Erwachsene. 17-Jährige haben noch keine Bedürfnisse. ",Explizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),Enthalten,Enthalten,Enthalten,Nicht enthalten,Nicht vorhanden,Stufe 2,leicht,"Selbst wenn Luisa insgesamt zufrieden ist, hat sie trotzdem Bedürfnisse. Auch der Wunsch, einen erfüllenden Beruf zu ergreifen, ist ein Bedürfnis.",5
37-1-2,1,multiple-choice,"Luisa ist 17 Jahre alt und wohnt bei ihren Eltern. Sie ist mit ihrem Leben eigentlich ganz zufrieden: Sie muss sich keine Sorge um ihre Gesundheit und die Versorgung mit Essen machen und hat viele Freunde. Da sie in Kürze ihr Abitur macht, fragt sie sich momentan häufig, was sie später mit ihrem Leben anfangen soll. Sie möchte unbedingt einen Beruf wählen, der ihr Spaß macht und der sie erfüllt. Welche der folgenden Aussagen trifft zu? <option> Luisa hat keine Bedürfnisse, da sie mit ihrem Leben insgesamt ganz zufrieden ist. <option> Selbst wenn Luisa insgesamt zufrieden ist, bedeutet das nicht, dass sie keine Bedürfnisse hat. Auch der Wunsch, einen erfüllenden Beruf zu ergreifen, ist ein Bedürfnis. <option> Bedürfnisse sind nur was für Erwachsene. 17-Jährige haben noch keine Bedürfnisse.  <option> Luisas Wunsch nach Selbstverwirklichung nennt man in der Wirtschaftswissenschaft Bedarf.  ",Explizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),Enthalten,Enthalten,Enthalten,Nicht enthalten,Nicht vorhanden,Stufe 2,Stammaufgabe,"Selbst wenn Luisa insgesamt zufrieden ist, bedeutet das nicht, dass sie keine Bedürfnisse hat. Auch der Wunsch, einen erfüllenden Beruf zu ergreifen, ist ein Bedürfnis.",5
36-3-3,1,mapping,"Ordne die links stehenden Begriffe der richtigen Beschreibung zu. <start-option> Bedürfnisse sind Wünsche nach Dingen, ... <start-option> Man sagt auch, dass Bedürfnisse entstehen, wenn ... <start-option> Jeder Mensch hat jeden Tag verschiedene Bedürfnisse, ... <start-option> Wir machen uns auf die Suche, wie ... <start-option> Individuelle Bedürfnisse sind solche, ... <start-option> Ist ein Wunsch erfüllt worden, ... <end-option> ... es einen Mangel gibt. <end-option> ... die wir zum Leben benötigen. <end-option> ... die sich von Person zu Person unterscheiden. Nicht jeder Mensch hat die gleichen Wünsche. <end-option> ... zum Beispiel Hunger und Durst. Wir empfinden einen Mangel. <end-option> ... so gilt das zugehörige Bedürfnis als befriedigt. <end-option> ... der Mangel am besten zu beseitigen ist. Man sagt auch, wir haben ein Bedürfnis. ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,Enthalten,Enthalten,Enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,schwer,"Bedürfnisse sind Wünsche nach Dingen, ... -> ... die wir zum Leben benötigen.; Man sagt auch, dass Bedürfnisse entstehen, wenn ... -> ... es einen Mangel gibt.; Jeder Mensch hat jeden Tag verschiedene Bedürfnisse, ... -> ... zum Beispiel Hunger und Durst. Wir empfinden einen Mangel.; Wir machen uns auf die Suche, wie ... -> ... der Mangel am besten zu beseitigen ist. Man sagt auch, wir haben ein Bedürfnis.; Individuelle Bedürfnisse sind solche, ... -> ... die sich von Person zu Person unterscheiden. Nicht jeder Mensch hat die gleichen Wünsche.; Ist ein Wunsch erfüllt worden, ... -> ... so gilt das zugehörige Bedürfnis als befriedigt.",1
36-2-3,1,mapping,"Ordne die links stehenden Begriffe der richtigen Beschreibung zu. <start-option> Man sagt auch, dass Bedürfnisse entstehen, wenn ... <start-option> Jeder Mensch hat jeden Tag verschiedene Bedürfnisse, ... <start-option> Wir machen uns auf die Suche, wie ... <end-option> ... es einen Mangel gibt. <end-option> ... der Mangel am besten zu beseitigen ist. Man sagt auch, wir haben ein Bedürfnis <end-option> ... zum Beispiel Hunger und Durst. Wir empfinden einen Mangel. ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,,,,,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,leicht,"Man sagt auch, dass Bedürfnisse entstehen, wenn ... -> ... es einen Mangel gibt.; Jeder Mensch hat jeden Tag verschiedene Bedürfnisse, ... -> ... zum Beispiel Hunger und Durst. Wir empfinden einen Mangel.; Wir machen uns auf die Suche, wie ... -> ... der Mangel am besten zu beseitigen ist. Man sagt auch, wir haben ein Bedürfnis",1
36-1-3,1,mapping,"Ordne die links stehenden Begriffe der richtigen Beschreibung zu. <start-option> Bedürfnisse sind Wünsche nach Dingen, ... <start-option> Man sagt auch, dass Bedürfnisse entstehen, wenn ... <start-option> Jeder Mensch hat jeden Tag verschiedene Bedürfnisse, ... <start-option> Wir machen uns auf die Suche, wie ... <end-option> ... es einen Mangel gibt. <end-option> ... zum Beispiel Hunger und Durst. Wir empfinden einen Mangel. <end-option> ... der Mangel am besten zu beseitigen ist. Man sagt auch, wir haben ein Bedürfnis <end-option> .... die wir zum Leben benötigen. ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Nicht enthalten,Enthalten,,,,,,,,,,,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,Stammaufgabe,"Bedürfnisse sind Wünsche nach Dingen, ... -> .... die wir zum Leben benötigen.; Man sagt auch, dass Bedürfnisse entstehen, wenn ... -> ... es einen Mangel gibt.; Jeder Mensch hat jeden Tag verschiedene Bedürfnisse, ... -> ... zum Beispiel Hunger und Durst. Wir empfinden einen Mangel.; Wir machen uns auf die Suche, wie ... -> ... der Mangel am besten zu beseitigen ist. Man sagt auch, wir haben ein Bedürfnis",1
35-3-8,1,true-false,"Entscheide, ob die Aussagen falsch oder richtig sind. <true-false> Alle Menschen haben die gleichen Bedürfnisse. <true-false> Die Bedürfnisse von Menschen sind nicht begrenzt. <true-false> Bedürfnisse beschreiben Wünsche, die durch Geld befriedigt werden können. <true-false> Bedürfnisse beschreiben Wünsche, die durch einen empfundenen Mangel entstehen. <true-false> Es gibt Bedürfnisse, die nicht mit Geld befriedigt werden können. <true-false> Wenn man alle seine Bedürfnisse befriedigt hat, können keine neuen Bedürfnisse entstehen. ",Implizit,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Nicht enthalten,Enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Enthalten,,Nicht enthalten,Enthalten,Nicht enthalten,Nicht enthalten,,Nicht enthalten,Enthalten,Enthalten,Enthalten,,Nicht enthalten,Nicht enthalten,Enthalten,Nicht enthalten,,,,,,,,,,,,0 (Kein Bezug),,,,,,Stufe 1,schwer,"Die Bedürfnisse von Menschen sind nicht begrenzt.; Bedürfnisse beschreiben Wünsche, die durch einen empfundenen Mangel entstehen.; Es gibt Bedürfnisse, die nicht mit Geld befriedigt werden können.",1
35-3-4,1,true-false,"Entscheide, ob die Aussagen wahr oder falsch sind. <true-false> Alle Menschen haben die gleichen Bedürfnisse. <true-false> Die Bedürfnisse von Menschen sind unbegrenzt. <true-false> Bedürfnisse beschreiben Wünsche, die durch Geld befriedigt werden können. <true-false> Bedürfnisse beschreiben Wünsche, die durch einen empfundenen Mangel entstehen. <true-false> Es gibt Bedürfnisse, die nicht mit Geld befriedigt werden können. <true-false> Wenn man alle seine Bedürfnisse befriedig hat, können keine neuen Bedürfnisse entstehen. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stufe 1,schwer,"Alle Menschen haben die gleichen Bedürfnisse.; Bedürfnisse beschreiben Wünsche, die durch Geld befriedigt werden können.; Wenn man alle seine Bedürfnisse befriedig hat, können keine neuen Bedürfnisse entstehen.",1
